PointSpread	FavoriteWinChance	UnderdogWinChance
0	0.5000	0.5000
0.5	0.5000	0.5000
1	0.5130	0.4880
1.5	0.5250	0.4750
2	0.5350	0.4650
2.5	0.5450	0.4550
3	0.5940	0.4060
3.5	0.6430	0.3570
4	0.6580	0.3420
4.5	0.6730	0.3270
5	0.6810	0.3190
5.5	0.6900	0.3110
6	0.7070	0.2940
6.5	0.7240	0.2770
7	0.7520	0.2480
7.5	0.7810	0.2190
8	0.7910	0.2090
8.5	0.8020	0.1980
9	0.8070	0.1930
9.5	0.8110	0.1890
10	0.8360	0.1640
10.5	0.8600	0.1400
11	0.8710	0.1290
11.5	0.8820	0.1180
12	0.8850	0.1160
12.5	0.8870	0.1130
13	0.8930	0.1070
13.5	0.9000	0.1000
14	0.9240	0.0760
14.5	0.9490	0.0510
15	0.9560	0.0440
15.5	0.9630	0.0370
16	0.9810	0.0190
16.5	0.9980	0.0020
17      1.0000	0.0000
		
