Team,OverUnder,over_odds,under_odds
Cardinals,8,1.73,2.02
Falcons,7.5,1.72,2.03
Ravens,11,1.95,1.78
Bills,11,1.87,1.87
Panthers,7.5,2.02,1.73
Bears,7.5,1.87,1.87
Bengals,6.5,2.11,1.66
Browns,10.5,1.9,1.83
Cowboys,9.5,1.87,1.87
Broncos,8.5,1.73,2.03
Lions,5,1.95,1.78
Packers,10,1.87,1.87
Texans,4,1.75,2
Colts,9.5,1.62,2.2
Jaguars,6.5,1.87,1.87
Chiefs,12.5,1.95,1.78
Chargers,9.5,2.03,1.7
Rams,10.5,2.17,1.63
Dolphins,9.5,2.05,1.69
Vikings,8.5,1.56,2.3
Patriots,9,1.69,2.08
Saints,9,1.83,1.9
Giants,7,1.75,2
Jets,6,1.83,1.9
Raiders,6.5,1.63,2.17
Eagles,6.5,1.66,2.11
Steelers,8.5,1.9,1.83
49ers,10.5,2,1.74
Seahawks,10,1.87,1.87
Bucs,11.5,1.62,2.2
Titans,9,1.62,2.2
FootballTeam,8.5,1.95,1.78
